Hours             Distance Traveled
------------------------------------
  1                     1 MPH
  2                     2 MPH
  3                     3 MPH
  4                     4 MPH
  5                     5 MPH
  6                     6 MPH
  7                     7 MPH
  8                     8 MPH
  9                     9 MPH
  10                     10 MPH
  11                     11 MPH
  12                     12 MPH
  13                     13 MPH
  14                     14 MPH
  15                     15 MPH
  16                     16 MPH
  17                     17 MPH
  18                     18 MPH
  19                     19 MPH
  20                     20 MPH
  21                     21 MPH
  22                     22 MPH
  23                     23 MPH
  24                     24 MPH
  25                     25 MPH
  26                     26 MPH
  27                     27 MPH
  28                     28 MPH
  29                     29 MPH
  30                     30 MPH
  31                     31 MPH
  32                     32 MPH
  33                     33 MPH
  34                     34 MPH
  35                     35 MPH
  36                     36 MPH
  37                     37 MPH
  38                     38 MPH
  39                     39 MPH
  40                     40 MPH
  41                     41 MPH
  42                     42 MPH
  43                     43 MPH
  44                     44 MPH
  45                     45 MPH
